Training loss	Validation loss	
 5.2114e-03	 5.5909e-03	
 5.2097e-03	 5.5893e-03	
 5.2079e-03	 5.5877e-03	
 5.2062e-03	 5.5861e-03	
 5.2045e-03	 5.5846e-03	
 5.2028e-03	 5.5830e-03	
 5.2010e-03	 5.5814e-03	
 5.1993e-03	 5.5799e-03	
 5.1977e-03	 5.5783e-03	
 5.1960e-03	 5.5768e-03	
 5.1943e-03	 5.5752e-03	
 5.1927e-03	 5.5737e-03	
 5.1910e-03	 5.5722e-03	
 5.1894e-03	 5.5707e-03	
 5.1877e-03	 5.5692e-03	
 5.1861e-03	 5.5677e-03	
 5.1845e-03	 5.5662e-03	
 5.1829e-03	 5.5647e-03	
 5.1813e-03	 5.5632e-03	
 5.1797e-03	 5.5618e-03	
 5.1781e-03	 5.5603e-03	
 5.1765e-03	 5.5588e-03	
 5.1749e-03	 5.5574e-03	
 5.1734e-03	 5.5559e-03	
 5.1718e-03	 5.5545e-03	
 5.1703e-03	 5.5531e-03	
 5.1687e-03	 5.5517e-03	
 5.1672e-03	 5.5502e-03	
 5.1657e-03	 5.5488e-03	
 5.1642e-03	 5.5474e-03	
 5.1627e-03	 5.5460e-03	
 5.1612e-03	 5.5446e-03	
 5.1597e-03	 5.5432e-03	
 5.1582e-03	 5.5419e-03	
 5.1567e-03	 5.5405e-03	
 5.1552e-03	 5.5391e-03	
 5.1538e-03	 5.5378e-03	
 5.1523e-03	 5.5364e-03	
 5.1509e-03	 5.5351e-03	
 5.1495e-03	 5.5337e-03	
 5.1480e-03	 5.5324e-03	
 5.1466e-03	 5.5311e-03	
 5.1452e-03	 5.5298e-03	
 5.1438e-03	 5.5284e-03	
 5.1424e-03	 5.5271e-03	
 5.1410e-03	 5.5258e-03	
 5.1396e-03	 5.5245e-03	
 5.1383e-03	 5.5232e-03	
 5.1369e-03	 5.5220e-03	
 5.1355e-03	 5.5207e-03	
 5.1341e-03	 5.5194e-03	
 5.1328e-03	 5.5181e-03	
 5.1314e-03	 5.5169e-03	
 5.1301e-03	 5.5156e-03	
 5.1287e-03	 5.5144e-03	
 5.1274e-03	 5.5131e-03	
 5.1261e-03	 5.5119e-03	
 5.1248e-03	 5.5107e-03	
 5.1235e-03	 5.5095e-03	
 5.1221e-03	 5.5083e-03	
 5.1208e-03	 5.5070e-03	
 5.1195e-03	 5.5058e-03	
 5.1182e-03	 5.5046e-03	
 5.1169e-03	 5.5035e-03	
 5.1157e-03	 5.5023e-03	
 5.1144e-03	 5.5011e-03	
 5.1132e-03	 5.4999e-03	
 5.1119e-03	 5.4987e-03	
 5.1106e-03	 5.4976e-03	
 5.1094e-03	 5.4964e-03	
 5.1082e-03	 5.4953e-03	
 5.1069e-03	 5.4941e-03	
 5.1057e-03	 5.4930e-03	
 5.1045e-03	 5.4918e-03	
 5.1033e-03	 5.4907e-03	
 5.1021e-03	 5.4896e-03	
 5.1008e-03	 5.4885e-03	
 5.0997e-03	 5.4874e-03	
 5.0985e-03	 5.4863e-03	
 5.0973e-03	 5.4852e-03	
 5.0960e-03	 5.4841e-03	
 5.0949e-03	 5.4830e-03	
 5.0937e-03	 5.4819e-03	
 5.0925e-03	 5.4808e-03	
 5.0914e-03	 5.4797e-03	
 5.0902e-03	 5.4787e-03	
 5.0891e-03	 5.4776e-03	
 5.0879e-03	 5.4765e-03	
 5.0867e-03	 5.4755e-03	
 5.0856e-03	 5.4744e-03	
 5.0845e-03	 5.4734e-03	
 5.0833e-03	 5.4724e-03	
 5.0822e-03	 5.4713e-03	
 5.0811e-03	 5.4703e-03	
 5.0800e-03	 5.4693e-03	
 5.0789e-03	 5.4683e-03	
 5.0778e-03	 5.4673e-03	
 5.0767e-03	 5.4663e-03	
 5.0756e-03	 5.4653e-03	
 5.0745e-03	 5.4643e-03	
 5.0734e-03	 5.4633e-03	
 5.0723e-03	 5.4623e-03	
 5.0712e-03	 5.4613e-03	
 5.0702e-03	 5.4603e-03	
 5.0691e-03	 5.4594e-03	
 5.0680e-03	 5.4584e-03	
 5.0669e-03	 5.4574e-03	
