Training loss	Validation loss	
 4.3315e-03	 4.7024e-03	
 4.3634e-03	 4.7020e-03	
 4.3310e-03	 4.7009e-03	
 4.3713e-03	 4.7006e-03	
 4.3308e-03	 4.6994e-03	
 4.3763e-03	 4.6991e-03	
 4.3293e-03	 4.6978e-03	
 4.3729e-03	 4.6975e-03	
 4.3263e-03	 4.6963e-03	
 4.3638e-03	 4.6959e-03	
 4.3234e-03	 4.6947e-03	
 4.3547e-03	 4.6943e-03	
 4.3212e-03	 4.6932e-03	
 4.3479e-03	 4.6928e-03	
 4.3194e-03	 4.6917e-03	
 4.3436e-03	 4.6912e-03	
 4.3177e-03	 4.6902e-03	
 4.3413e-03	 4.6897e-03	
 4.3162e-03	 4.6887e-03	
 4.3410e-03	 4.6883e-03	
 4.3149e-03	 4.6872e-03	
 4.3426e-03	 4.6869e-03	
 4.3140e-03	 4.6858e-03	
 4.3459e-03	 4.6855e-03	
 4.3134e-03	 4.6844e-03	
 4.3492e-03	 4.6841e-03	
 4.3126e-03	 4.6830e-03	
 4.3502e-03	 4.6827e-03	
 4.3110e-03	 4.6816e-03	
 4.3475e-03	 4.6813e-03	
 4.3088e-03	 4.6802e-03	
 4.3420e-03	 4.6798e-03	
 4.3065e-03	 4.6787e-03	
 4.3362e-03	 4.6784e-03	
 4.3045e-03	 4.6773e-03	
 4.3315e-03	 4.6769e-03	
 4.3028e-03	 4.6759e-03	
 4.3284e-03	 4.6755e-03	
 4.3014e-03	 4.6745e-03	
 4.3268e-03	 4.6741e-03	
 4.3001e-03	 4.6732e-03	
 4.3266e-03	 4.6728e-03	
 4.2991e-03	 4.6718e-03	
 4.3275e-03	 4.6715e-03	
 4.2983e-03	 4.6705e-03	
 4.3290e-03	 4.6702e-03	
 4.2975e-03	 4.6692e-03	
 4.3298e-03	 4.6689e-03	
 4.2963e-03	 4.6679e-03	
 4.3287e-03	 4.6675e-03	
 4.2947e-03	 4.6666e-03	
 4.3258e-03	 4.6662e-03	
 4.2928e-03	 4.6652e-03	
 4.3219e-03	 4.6649e-03	
 4.2910e-03	 4.6639e-03	
 4.3183e-03	 4.6635e-03	
 4.2893e-03	 4.6626e-03	
 4.3155e-03	 4.6622e-03	
 4.2879e-03	 4.6613e-03	
 4.3135e-03	 4.6609e-03	
 4.2867e-03	 4.6601e-03	
 4.3125e-03	 4.6597e-03	
 4.2856e-03	 4.6588e-03	
 4.3124e-03	 4.6584e-03	
 4.2847e-03	 4.6576e-03	
 4.3128e-03	 4.6572e-03	
 4.2838e-03	 4.6563e-03	
 4.3129e-03	 4.6559e-03	
 4.2828e-03	 4.6551e-03	
 4.3121e-03	 4.6547e-03	
 4.2814e-03	 4.6539e-03	
 4.3102e-03	 4.6535e-03	
 4.2798e-03	 4.6526e-03	
 4.3073e-03	 4.6522e-03	
 4.2781e-03	 4.6514e-03	
 4.3043e-03	 4.6510e-03	
 4.2766e-03	 4.6502e-03	
 4.3016e-03	 4.6498e-03	
 4.2752e-03	 4.6489e-03	
 4.2997e-03	 4.6485e-03	
 4.2740e-03	 4.6478e-03	
 4.2985e-03	 4.6473e-03	
 4.2731e-03	 4.6466e-03	
 4.2981e-03	 4.6462e-03	
 4.2722e-03	 4.6454e-03	
 4.2980e-03	 4.6450e-03	
 4.2713e-03	 4.6442e-03	
 4.2976e-03	 4.6438e-03	
 4.2703e-03	 4.6431e-03	
 4.2967e-03	 4.6427e-03	
 4.2691e-03	 4.6419e-03	
 4.2950e-03	 4.6415e-03	
 4.2676e-03	 4.6408e-03	
 4.2927e-03	 4.6403e-03	
 4.2662e-03	 4.6396e-03	
 4.2903e-03	 4.6392e-03	
 4.2648e-03	 4.6384e-03	
 4.2881e-03	 4.6380e-03	
 4.2635e-03	 4.6373e-03	
 4.2865e-03	 4.6369e-03	
 4.2624e-03	 4.6362e-03	
 4.2854e-03	 4.6358e-03	
 4.2615e-03	 4.6351e-03	
 4.2848e-03	 4.6346e-03	
 4.2607e-03	 4.6340e-03	
 4.2844e-03	 4.6335e-03	
 4.2598e-03	 4.6329e-03	
 4.2836e-03	 4.6324e-03	
 4.2587e-03	 4.6318e-03	
 4.2825e-03	 4.6313e-03	
 4.2576e-03	 4.6307e-03	
 4.2809e-03	 4.6302e-03	
 4.2563e-03	 4.6296e-03	
 4.2791e-03	 4.6291e-03	
 4.2551e-03	 4.6285e-03	
 4.2773e-03	 4.6281e-03	
 4.2538e-03	 4.6274e-03	
 4.2755e-03	 4.6270e-03	
 4.2527e-03	 4.6263e-03	
 4.2740e-03	 4.6259e-03	
 4.2516e-03	 4.6253e-03	
 4.2728e-03	 4.6248e-03	
 4.2507e-03	 4.6242e-03	
 4.2719e-03	 4.6238e-03	
 4.2498e-03	 4.6232e-03	
 4.2712e-03	 4.6227e-03	
 4.2490e-03	 4.6222e-03	
 4.2703e-03	 4.6217e-03	
 4.2480e-03	 4.6211e-03	
 4.2693e-03	 4.6206e-03	
 4.2470e-03	 4.6201e-03	
 4.2678e-03	 4.6196e-03	
 4.2458e-03	 4.6190e-03	
 4.2662e-03	 4.6186e-03	
 4.2446e-03	 4.6180e-03	
 4.2646e-03	 4.6175e-03	
 4.2435e-03	 4.6170e-03	
 4.2630e-03	 4.6165e-03	
 4.2424e-03	 4.6160e-03	
 4.2615e-03	 4.6155e-03	
 4.2414e-03	 4.6150e-03	
 4.2603e-03	 4.6145e-03	
 4.2405e-03	 4.6140e-03	
 4.2593e-03	 4.6135e-03	
 4.2397e-03	 4.6130e-03	
 4.2585e-03	 4.6125e-03	
 4.2389e-03	 4.6120e-03	
 4.2577e-03	 4.6115e-03	
 4.2380e-03	 4.6110e-03	
 4.2568e-03	 4.6105e-03	
 4.2371e-03	 4.6100e-03	
 4.2556e-03	 4.6095e-03	
 4.2360e-03	 4.6091e-03	
 4.2542e-03	 4.6086e-03	
 4.2349e-03	 4.6081e-03	
 4.2526e-03	 4.6076e-03	
 4.2338e-03	 4.6071e-03	
 4.2511e-03	 4.6066e-03	
 4.2328e-03	 4.6062e-03	
 4.2499e-03	 4.6057e-03	
 4.2319e-03	 4.6052e-03	
 4.2488e-03	 4.6047e-03	
 4.2310e-03	 4.6043e-03	
 4.2476e-03	 4.6038e-03	
 4.2301e-03	 4.6033e-03	
 4.2465e-03	 4.6028e-03	
 4.2292e-03	 4.6024e-03	
 4.2455e-03	 4.6019e-03	
 4.2284e-03	 4.6015e-03	
 4.2445e-03	 4.6009e-03	
 4.2275e-03	 4.6005e-03	
 4.2434e-03	 4.6000e-03	
 4.2265e-03	 4.5996e-03	
 4.2422e-03	 4.5991e-03	
 4.2256e-03	 4.5987e-03	
 4.2410e-03	 4.5982e-03	
 4.2247e-03	 4.5978e-03	
