Training loss	Validation loss	
 4.5180e-03	 5.3307e-03	
 4.5167e-03	 5.3277e-03	
 4.5154e-03	 5.3248e-03	
 4.5140e-03	 5.3220e-03	
 4.5128e-03	 5.3191e-03	
 4.5115e-03	 5.3162e-03	
 4.5102e-03	 5.3133e-03	
 4.5089e-03	 5.3105e-03	
 4.5077e-03	 5.3078e-03	
 4.5065e-03	 5.3050e-03	
 4.5052e-03	 5.3022e-03	
 4.5039e-03	 5.2996e-03	
 4.5027e-03	 5.2968e-03	
 4.5015e-03	 5.2939e-03	
 4.5003e-03	 5.2912e-03	
 4.4991e-03	 5.2886e-03	
 4.4979e-03	 5.2861e-03	
